  Mimas (SI)                     0.379     208 x 197 x 191     1150                 0.6
  Enceladus (SII)                1.08      257 x 251 x 248     1610                 1.0
  Tethys (SIII)                  6.18      538 x 528 x 526      985                 0.8
  Dione (SIV)                   11.0       563 x 561 x 560     1480                 0.7
  Rhea (SV)                     23.1       765 x 763 x 762     1240                 0.7

  Titan (SVI)                1,345.5           2,575           1880                 0.22
  Hyperion (SVII)                0.056     180 x 133 x 103      550                 0.3
  Iapetus (SVIII)               18.1       746 x 746 x 712     1090             0.05 / 0.5


  Pan (SXVIII, S/1981 S13)       0.00005     17 x 16 x 10       420                 0.5
  Daphnis (SXXXV, S/2005 S1)     0.000001   4.3 x 4.1 x 3.2     340                       
  Atlas (SXV, S/1980 S28)        0.00007     20 x 18 x 9        500                 0.8
  Prometheus (SXVI, S/1980 S27)  0.0016      68 x 40 x 30       480                 0.5
  Pandora (SXVII, S/1980 S26)    0.0014      52 x 41 x 32       490                 0.7
  Epimetheus (SXI, S/1980 S3)    0.0053      65 x 57 x 53       640                 0.8
  Janus (SX, S/1980 S1)          0.0190     102 x 93 x 76       630                 0.9

  Aegaeon (LIII, S/2008 S1)                        0.5
  Methone (SXXXII, S/2004 S1)                      1.6           
  Anthe (XLIX, S/2007 S4)                         ~1       
  Pallene (SXXXIII, S/2004 S2)              2.9 x 2.8 x 2.0
  Calypso (SXIV, S/1980 S25)     0.00004     15 x 12 x 7       1000                 1.0
  Telesto (SXIII, S/1980 S13)    0.00007     16 x 12 x 10      1000                 1.0
  Helene (SXII, S/1980 S6)       0.0003      22 x 19 x 13      1300                 0.7
  Polydeuces (SXXXIV, S/2004 S5)            1.5 x 1.2 x 1.0

  Kiviuq (SXXIV, S/2000 S5)                       ~7                                0.06
  Ijiraq (SXXII, S/2000 S6)                       ~5                                0.06
  Phoebe (SIX)                   0.083     109 x 109 x 102     1640                 0.08
  Paaliaq (SXX, S/2000 S2)                       ~10                                0.06
  Skathi (SXXVII, S/2000 S8)                      ~3                                0.06
  Albiorix (SXXVI, S/2000 S11)                   ~13                                0.06
  Bebhionn (XXXVII, S/2004 S11)                   ~3                      
  Erriapo (SXXVIII, S/2000 S10)                   ~4                                0.06
  Siarnaq (SXXIX, S/2000 S3)                     ~16                                0.06
  Skoll (XLVII, S/2006 S8)                        ~3    
  Tarvos (SXXI, S/2000 S4)                        ~7                                0.06
  Tarqeq (SLII, S/2007 S1)                        ~3                                            

  Greip (SLI, S/2006 S4)                          ~3                                                                                      
  Hyrrokkin (SXLIV, S/2004 S19)                   ~4                                                 
  Mundilfari (SXXV, S/2000 S9)                    ~3                                0.06
  Jarnsaxa (SL, S/2006 S6)                        ~3                                                
  Narvi (SXXXI, S/2003 S1)                        ~3                                0.06
  Bergelmir (XXXVIII, S/2004 S15)                 ~3                     
  Suttungr (SXXIII, S/2000 S12)                   ~3                                0.06
  Hati (XLIII, S/2004 S14)                        ~3                      
  Bestla (SXXXIX, S/2004 S18)                     ~3                     
  Farbauti (SXL, S/2004 S9)                       ~3                     
  Thrymr (SXXX, S/2000 S7)                        ~3                                0.06
  Aegir (SXXXVI, S/2004 S10)                      ~3                      
  Kari (SXLV, S/2006 S2)                          ~3                                                
  Fenrir (SXLI, S/2004 S16)                       ~2                       
  Surtur (SXLVIII, S/2006 S7)                     ~3                                                
  Loge (SXLVI, S/2006 S5)                         ~3                                                                                      
  Ymir (SXIX, S/2000 S1)                          ~9                                0.06
  Fornjot (SXLII, S/2004 S8)                      ~3  
